laptop_time,raw_line
2025-12-09T16:15:09.061915,10000000543
2025-12-09T16:15:09.075095,10000000544
2025-12-09T16:15:09.090838,10000000545
2025-12-09T16:15:09.101906,10000000546
2025-12-09T16:15:09.113937,10000000547
2025-12-09T16:15:09.125915,10000000548
2025-12-09T16:15:09.137920,10000000549
2025-12-09T16:15:09.149991,10000000550
2025-12-09T16:15:09.161912,10000000551
2025-12-09T16:15:09.174785,10000000552
2025-12-09T16:15:09.185969,10000000553
2025-12-09T16:15:09.201891,10000000554
2025-12-09T16:15:09.217275,10000000555
2025-12-09T16:15:09.226029,10000000556
2025-12-09T16:15:09.237943,10000000557
2025-12-09T16:15:09.250047,10000000558
2025-12-09T16:15:09.261951,10000000559
2025-12-09T16:15:09.277951,10000000560
2025-12-09T16:15:09.289917,10000000561
2025-12-09T16:15:09.301918,10000000562
2025-12-09T16:15:09.313890,10000000563
2025-12-09T16:15:09.325901,10000000564
2025-12-09T16:15:09.337913,10000000565
2025-12-09T16:15:09.349897,10000000566
2025-12-09T16:15:09.361916,10000000567
2025-12-09T16:15:09.373971,10000000568
2025-12-09T16:15:09.385914,10000000569
2025-12-09T16:15:09.397942,10000000570
2025-12-09T16:15:09.409969,10000000571
2025-12-09T16:15:09.422877,10000000572
2025-12-09T16:15:09.433902,10000000573
2025-12-09T16:15:09.445915,10000000574
2025-12-09T16:15:09.457977,10000000575
2025-12-09T16:15:09.472657,10000000576
2025-12-09T16:15:09.482902,10000000577
2025-12-09T16:15:09.493923,10000000578
2025-12-09T16:15:09.506926,10000000579
2025-12-09T16:15:09.517927,10000000580
2025-12-09T16:15:09.529991,10000000581
2025-12-09T16:15:09.541921,10000000582
2025-12-09T16:15:09.554908,10000000583
2025-12-09T16:15:09.565914,10000000584
2025-12-09T16:15:09.577928,10000000585
2025-12-09T16:15:09.594158,10000000586
2025-12-09T16:15:09.607916,10000000587
2025-12-09T16:15:09.617947,10000000588
2025-12-09T16:15:09.629959,10000000589
2025-12-09T16:15:09.645915,10000000590
2025-12-09T16:15:09.661949,10000000591
2025-12-09T16:15:09.677916,10000000592
2025-12-09T16:15:09.689902,10000000593
2025-12-09T16:15:09.701890,10000000594
2025-12-09T16:15:09.713945,10000000595
2025-12-09T16:15:09.731033,10000000596
2025-12-09T16:15:09.745033,10000000597
2025-12-09T16:15:09.753897,10000000598
2025-12-09T16:15:09.765910,10000000599
2025-12-09T16:15:09.781858,10000000600
2025-12-09T16:15:09.793882,10000000601
2025-12-09T16:15:09.809905,10000000602
2025-12-09T16:15:09.821875,10000000603
2025-12-09T16:15:09.837878,10000000604
2025-12-09T16:15:09.853875,10000000605
2025-12-09T16:15:09.865920,10000000606
2025-12-09T16:15:09.881980,10000000607
2025-12-09T16:15:09.893906,10000000608
2025-12-09T16:15:09.905925,10000000609
2025-12-09T16:15:09.917885,10000000610
2025-12-09T16:15:09.933904,10000000611
2025-12-09T16:15:09.949909,10000000612
2025-12-09T16:15:09.965902,10000000613
2025-12-09T16:15:09.977881,10000000614
2025-12-09T16:15:09.989894,10000000615
2025-12-09T16:15:10.005889,10000000616
2025-12-09T16:15:10.017917,10000000617
2025-12-09T16:15:10.033888,10000000618
2025-12-09T16:15:10.049896,10000000619
2025-12-09T16:15:10.065884,10000000620
2025-12-09T16:15:10.081948,10000000621
2025-12-09T16:15:10.097903,10000000622
2025-12-09T16:15:10.113911,10000000623
2025-12-09T16:15:10.125890,10000000624
2025-12-09T16:15:10.137924,10000000625
2025-12-09T16:15:10.153907,10000000626
2025-12-09T16:15:10.169931,10000000627
2025-12-09T16:15:10.185891,10000000628
2025-12-09T16:15:10.197961,10000000629
2025-12-09T16:15:10.214100,10000000630
2025-12-09T16:15:10.229933,10000000631
2025-12-09T16:15:10.245990,10000000632
2025-12-09T16:15:10.261948,10000000633
2025-12-09T16:15:10.273950,10000000634
2025-12-09T16:15:10.287929,10000000635
2025-12-09T16:15:10.297966,10000000636
2025-12-09T16:15:10.314809,10000000637
2025-12-09T16:15:10.329927,10000000638
2025-12-09T16:15:10.345990,10000000639
2025-12-09T16:15:10.359734,10000000640
2025-12-09T16:15:10.375890,10000000641
2025-12-09T16:15:10.390446,10000000642
2025-12-09T16:15:10.401906,10000000643
2025-12-09T16:15:10.414004,10000000644
2025-12-09T16:15:10.425897,10000000645
2025-12-09T16:15:10.441905,10000000646
2025-12-09T16:15:10.453929,10000000647
2025-12-09T16:15:10.466415,10000000648
2025-12-09T16:15:10.477923,10000000649
2025-12-09T16:15:10.489925,10000000650
2025-12-09T16:15:10.501889,10000000651
2025-12-09T16:15:10.514398,10000000652
2025-12-09T16:15:10.526126,10000000653
2025-12-09T16:15:10.541890,10000000654
2025-12-09T16:15:10.555058,10000000655
2025-12-09T16:15:10.569928,10000000656
2025-12-09T16:15:10.584296,10000000657
2025-12-09T16:15:10.593890,10000000658
2025-12-09T16:15:10.605910,10000000659
2025-12-09T16:15:10.617952,10000000660
2025-12-09T16:15:45.889737,"1765296945.951,0.0000,0.000,0.00,0.000,0,0.00"
